"idx","orbit","type","d","dp","rho","anomaly","S","delta","bad3","missing3count","minCover","holes","coverHist"
"1","156","NMDS","4","4","4","false","0,1,2,3,5,9","8","2","0","0","2","0:2;1:61;2:337;3:659;4:566;5:240;6:135;7:133;8:105;9:64;10:47;11:13;1\"
"2","156","NMDS","4","4","4","false","0,1,2,3,5,9","9","1","0","0","3","0:3;1:48;2:247;3:673;4:680;5:252;6:111;7:135;8:139;9:43;10:32;11:6;13\"
"3","156","NMDS","4","4","4","false","0,1,2,3,5,9","10","2","0","0","1","0:1;1:71;2:321;3:668;4:561;5:251;6:123;7:134;8:102;9:67;10:56;11:5;12\"
"4","156","NMDS","4","4","3","true","0,1,2,3,5,9","11","1","0","1","0","1:46;2:280;3:628;4:677;5:286;6:103;7:129;8:136;9:49;10:26;11:8;12:2;1\"
"5","156","NMDS","4","4","4","false","0,1,2,3,5,9","12","2","0","0","3","0:3;1:59;2:334;3:669;4:565;5:229;6:135;7:142;8:106;9:55;10:55;11:11;1\"
"6","156","NMDS","4","4","4","false","0,1,2,3,5,9","0","1","0","0","2","0:2;1:38;2:284;3:641;4:673;5:270;6:107;7:142;8:118;9:54;10:38;11:2;12\"
"7","156","NMDS","4","4","4","false","0,1,2,3,5,9","1","2","0","0","4","0:4;1:63;2:320;3:667;4:588;5:218;6:132;7:150;8:103;9:55;10:43;11:20;1\"
"8","156","NMDS","4","4","4","false","0,1,2,3,5,9","2","1","0","0","1","0:1;1:47;2:270;3:644;4:676;5:266;6:115;7:138;8:122;9:53;10:30;11:7;12\"
"9","156","NMDS","4","4","4","false","0,1,2,3,5,9","3","2","0","0","6","0:6;1:58;2:329;3:671;4:554;5:251;6:124;7:147;8:101;9:60;10:45;11:16;1\"
"10","156","NMDS","4","4","4","false","0,1,2,3,5,9","4","2","0","0","2","0:2;1:60;2:348;3:640;4:586;5:219;6:135;7:149;8:96;9:70;10:49;11:7;12:\"
"11","156","NMDS","4","4","4","false","0,1,2,3,5,9","5","1","0","0","1","0:1;1:49;2:259;3:661;4:667;5:273;6:104;7:143;8:119;9:56;10:32;11:5;12\"
"12","156","NMDS","4","4","4","false","0,1,2,3,5,9","6","2","0","0","2","0:2;1:65;2:318;3:689;4:551;5:236;6:130;7:151;8:99;9:60;10:48;11:14;12\"
"13","156","NMDS","4","4","4","false","0,1,2,3,5,9","7","1","0","0","1","0:1;1:41;2:278;3:654;4:649;5:293;6:106;7:130;8:121;9:60;10:30;11:6;12\"
"14","156","NMDS","4","4","3","true","0,1,2,3,4,8","10","1","0","1","0","1:50;2:268;3:638;4:673;5:291;6:97;7:138;8:132;9:46;10:25;11:10;12:1;1\"
"15","156","NMDS","4","4","4","false","0,1,2,3,4,8","4","1","0","0","6","0:6;1:51;2:242;3:654;4:695;5:263;6:108;7:136;8:121;9:57;10:30;11:6;12\"
"16","156","NMDS","4","4","4","false","0,1,2,3,4,8","11","2","0","0","4","0:4;1:50;2:351;3:668;4:542;5:245;6:137;7:144;8:96;9:66;10:43;11:17;12\"
"17","156","NMDS","4","4","4","false","0,1,2,3,4,8","5","2","0","0","2","0:2;1:63;2:325;3:677;4:561;5:235;6:133;7:144;8:92;9:74;10:41;11:16;12\"
"18","156","NMDS","4","4","4","false","0,1,2,3,4,8","12","2","0","0","3","0:3;1:69;2:319;3:663;4:575;5:240;6:119;7:147;8:110;9:57;10:45;11:17;1\"
"19","156","NMDS","4","4","4","false","0,1,2,3,4,8","6","2","0","0","5","0:5;1:62;2:322;3:674;4:570;5:225;6:134;7:143;8:107;9:58;10:52;11:11;1\"
"20","156","NMDS","4","4","4","false","0,1,2,3,4,8","0","2","0","0","4","0:4;1:58;2:328;3:684;4:541;5:252;6:134;7:137;8:96;9:70;10:43;11:16;12\"
"21","156","NMDS","4","4","4","false","0,1,2,3,4,8","7","2","0","0","5","0:5;1:53;2:335;3:680;4:550;5:243;6:127;7:147;8:92;9:71;10:47;11:12;12\"
"22","156","NMDS","4","4","4","false","0,1,2,3,4,8","1","1","0","0","2","0:2;1:50;2:261;3:658;4:656;5:281;6:100;7:149;8:130;9:48;10:26;11:8;12\"
"23","156","NMDS","4","4","4","false","0,1,2,3,4,8","8","1","0","0","3","0:3;1:43;2:273;3:625;4:701;5:275;6:97;7:137;8:128;9:51;10:26;11:10;13\"
"24","156","NMDS","4","4","4","false","0,1,2,3,4,8","2","1","0","0","2","0:2;1:45;2:273;3:652;4:641;5:308;6:99;7:130;8:126;9:57;10:33;11:3;12:\"
"25","156","NMDS","4","4","4","false","0,1,2,3,4,8","9","2","0","0","2","0:2;1:56;2:341;3:665;4:562;5:245;6:129;7:123;8:117;9:69;10:39;11:12;1\"
"26","156","NMDS","4","4","4","false","0,1,2,3,4,8","3","1","0","0","2","0:2;1:54;2:252;3:651;4:675;5:283;6:99;7:139;8:124;9:51;10:33;11:6;12:\"
"27","156","NMDS","4","4","4","false","0,1,2,3,6,8","1","1","0","0","2","0:2;1:47;2:258;3:656;4:671;5:288;6:91;7:149;8:121;9:45;10:30;11:10;12\"
"28","156","NMDS","4","4","4","false","0,1,2,3,6,8","10","2","0","0","5","0:5;1:66;2:322;3:652;4:589;5:248;6:105;7:145;8:89;9:90;10:44;11:5;12:\"
"29","156","NMDS","4","4","4","false","0,1,2,3,6,8","6","1","0","0","2","0:2;1:39;2:266;3:687;4:627;5:287;6:109;7:138;8:128;9:50;10:28;11:8;13\"
"30","156","NMDS","4","4","4","false","0,1,2,3,6,8","2","1","0","0","2","0:2;1:35;2:271;3:686;4:629;5:289;6:107;7:138;8:115;9:65;10:24;11:8;13\"
"31","156","NMDS","4","4","4","false","0,1,2,3,6,8","11","3","0","0","6","0:6;1:78;2:411;3:641;4:463;5:217;6:165;7:144;8:79;9:75;10:51;11:26;12\"
"32","156","NMDS","4","4","4","false","0,1,2,3,6,8","7","1","0","0","3","0:3;1:42;2:274;3:641;4:672;5:283;6:103;7:134;8:134;9:45;10:28;11:10;1\"
