q,idx,orbit,type,rho,S,delta,firstHole
23,1,506,NMDS,4,"0,1,10,11,12,13",0,"1,3,12,3"
23,2,506,NMDS,4,"0,1,10,11,12,13",1,"1,13,12,12"
23,3,506,NMDS,4,"0,1,10,11,12,13",10,"1,13,12,12"
23,4,506,NMDS,4,"0,1,10,11,12,13",11,"1,13,12,12"
23,5,506,NMDS,4,"0,1,10,11,12,13",12,"1,18,6,6"
23,6,506,NMDS,4,"0,1,10,11,12,13",13,"1,18,6,6"
23,7,506,NMDS,4,"0,1,10,11,12,13",14,"1,13,12,12"
23,8,506,MDS,4,"0,1,10,11,12,13",15,"1,18,6,6"
23,9,506,MDS,4,"0,1,10,11,12,13",16,"1,13,12,12"
23,10,506,MDS,4,"0,1,10,11,12,13",17,"1,13,12,12"
23,11,506,MDS,4,"0,1,10,11,12,13",18,"1,1,14,14"
23,12,506,MDS,4,"0,1,10,11,12,13",19,"1,13,12,12"
23,13,506,NMDS,4,"0,1,10,11,12,13",2,"1,18,6,6"
23,14,506,MDS,4,"0,1,10,11,12,13",20,"1,13,12,12"
23,15,506,NMDS,4,"0,1,10,11,12,13",21,"1,14,12,12"
23,16,506,NMDS,4,"0,1,10,11,12,13",22,"1,13,12,12"
23,17,506,NMDS,4,"0,1,10,11,12,13",3,"1,13,12,12"
23,18,506,MDS,4,"0,1,10,11,12,13",4,"1,14,12,12"
23,19,506,MDS,4,"0,1,10,11,12,13",5,"1,9,3,3"
23,20,506,MDS,4,"0,1,10,11,12,13",6,"1,18,6,6"
23,21,506,MDS,4,"0,1,10,11,12,13",7,"1,9,3,3"
23,22,506,MDS,4,"0,1,10,11,12,13",8,"1,14,12,12"
23,23,506,MDS,4,"0,1,10,11,12,13",9,"1,13,12,12"
23,24,506,NMDS,4,"0,1,10,11,12,14",0,"1,1,8,8"
23,25,506,NMDS,4,"0,1,10,11,12,14",1,"1,13,12,12"
23,26,506,NMDS,4,"0,1,10,11,12,14",10,"1,13,12,12"
23,27,506,NMDS,4,"0,1,10,11,12,14",11,"1,13,12,12"
23,28,506,NMDS,4,"0,1,10,11,12,14",12,"1,13,12,12"
23,29,506,NMDS,4,"0,1,10,11,12,14",13,"1,18,6,6"
23,30,506,NMDS,4,"0,1,10,11,12,14",14,"1,1,8,8"
23,31,506,NMDS,4,"0,1,10,11,12,14",15,"1,12,3,3"
23,32,506,MDS,4,"0,1,10,11,12,14",16,"1,1,8,8"
23,33,506,MDS,4,"0,1,10,11,12,14",17,"1,18,18,6"
23,34,506,MDS,4,"0,1,10,11,12,14",18,"1,13,12,12"
23,35,506,MDS,4,"0,1,10,11,12,14",19,"1,1,6,6"
23,36,506,NMDS,4,"0,1,10,11,12,14",2,"1,1,8,8"
23,37,506,MDS,4,"0,1,10,11,12,14",20,"1,13,12,12"
23,38,506,NMDS,4,"0,1,10,11,12,14",21,"1,1,6,6"
23,39,506,NMDS,4,"0,1,10,11,12,14",22,"1,1,8,8"
23,40,506,NMDS,4,"0,1,10,11,12,14",3,"1,13,12,12"
